PALLIDULA,GF,NF,,,,,,,,,,,,,2,4,,,
PALLIDULA,KB,KA,,,,,,,,,,,2,11,7,,,,
PALLIDULA,LC,NF,,,,,,,,,,,,,,3,,,
PALLIDULA,LW,NF,,,,,,,,,,,,,1,1,,,
PALLIDULA,MR,MF,,,,,,,,,,,1,14,44,178,,,
PALLIDULA,OU,MF,,,,,,,,,2,,,,16,8,,,
PALLIDULA,PB,MF,,,,,,,,15,,,,,,,,,
PALLIDULA,PR,KA,,,,,,,,,3,,3,17,1,,,,
PALLIDULA,RZ,MF,,,,,,,,,1,,,1,6,10,,1,
PALLIDULA,SM,NF,,,,,,,,,,,,,2,,,,
PALLIDULA,ST5R,KA,,,,,,,,,,,1,,,,,,
PALLIDULA,UT,NF,,,,,,,,1,,,1,,,,,,
PALLIDULA,WO,KA,,,,,,,,,,1,14,14,9,,,,
SABULOSA,BC,MF,,,,,,,2,,,,,,,,,,
SABULOSA,CC,NF,,,,,,,,,,,,,1,,,1,
SABULOSA,DM,MF,,,,,,,,,,,,,,,1,,
SABULOSA,DN,MF,,,,,,,,,,,,,,22,10,2,
SABULOSA,GF,NF,,,,,,,,,,,,,,4,1,,
SABULOSA,GRB,KA,,,,,,,,,,,,,,,,3,1
SABULOSA,KB,KA,,,,,,,,,,,,,1,1,1,,
SABULOSA,LC,NF,,,,,,,,,,,,,,3,2,,
SABULOSA,LW,NF,,,,,,,,,,,,,,,3,2,
SABULOSA,MD,NF,,,,,,,,,,,,,,4,1,,
SABULOSA,MR,MF,,,,,,,,,,,,,,,,1,
SABULOSA,OU,MF,,,,,,,,,,,,,,,9,,
SABULOSA,RZ,MF,,,,,,,,,,,,,,,14,5,
SABULOSA,WO,KA,,,,,,,,,,,,,,7,6,6,
SEVERA,CC,NF,,,,,,,,,12,26,3,,,,,,
SEVERA,DM,MF,,,,,,,9,,,,2,,,,,,
SEVERA,DN,MF,,,,,,,,,1,7,,,,,,,
SEVERA,GF,NF,,,,,,,,,,2,1,,,,,,
SEVERA,KB,KA,,,,,,,,,,5,2,1,,,,,
SEVERA,LC,NF,,,,,,,,,,35,8,1,,,,,
SEVERA,LW,NF,,,,,,,,,,1,,,,,,,
SEVERA,MD,NF,,,,,,,,,1,,,,,,,,
SEVERA,MR,MF,,,,,,,,,1,15,,,,4,,,
SEVERA,OU,MF,,,,,,,,,2,7,25,2,,,,,
SEVERA,PR,KA,,,,,,,,,,1,,,,,,,
SEVERA,SM,NF,,,,,,,,,1,,1,,,,,,
SEVERA,ST5R,KA,,,,,,,,,1,1,,,,,,,
SEVERA,UT,NF,,,,,,,,1,,18,3,,,,,,
